date,title,processed_description,category,url,document,topic,gamma,topic_name
"Publish : 24 May 2025, 15:36",CA exit rumours dismissed,chief advis muhammad yunu resign confirm plan advis wahiduddin mahmud chief advis stai advis stai carri respons assign saturdai 24 interim govern advisori council hold close door meet meet plan advis brief report meet 12 20 pm 2 20 pm nec confer sher bangla nagar dhaka early execut committe nation econom council ecnec hold meet 11 venu meet 12 15 pm unschedul advisori council meet commenc meet chair chief advis professor muhammad yunu attend 19 advis due urgent commit environ advis syeda rizwana hasan leave meet shortli 2 pm state discuss meet focus elect reform juli declar press brief meet comment resign chief advis shortli afterward foreign affair advis touhid hossain local govern advis asif mahmud sajib bhuiyan leav meet sourc advisori council allow ecnec meet cabinet secretari plan secretari govern offici leav nec confer light current polit unrest advisori council meet consid highli signific afternoon chief advis schedul meet leader polit parti includ bnp jamaat islami,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12037/ca-exit-rumours-dismissed,11,8,0.8608831074164021,Weather
"Publish : 24 May 2025, 14:53",NBR officials go on full-fledged countrywide strike,fledg nationwid strike enforc offic employe nation board revenu nbr underwai fledg nationwid strike enforc offic employe nation board revenu nbr underwai peacefulli saturdai press demand unb report strike enforc nbr reform uniti council morn offic tax custom vat depart keep custom hous lc station purview offici threaten continu protest demand meet demand repeal ordin dissolv nbr remov chairman public revenu reform advisori committe recommend nbr websit ensur sustain revenu system reform review discuss relev stakehold amid grow tension armi polic deploi nbr headquart capit morn nbr reform uniti council wednesdai announc seri programm includ ongo cooper nbr chairman press home demand sit programm hold nbr offic dhaka thursdai nbr reform uniti council start pen 14 suspend 19 govern propos dialogu initi direct chief advis,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12035/nbr-officials-go-on-full-fledged-countrywide,12,10,0.9982691919135834,International
"Publish : 24 May 2025, 13:58","Escalating Tensions: Army, police deployed at NBR",armi polic deploi front nation board revenu nbr headquart capit saturdai morn amid escal tension ongo protest nbr offici wit secur personnel station nbr premis morn unb report learn polic forc deploi instruct home affair advis nbr offici tell unb nbr chairman schedul govern semi govern bank school colleg direct govern avoid unpleas situat armi polic forc deploi nbr reform uniti council wednesdai announc seri fresh programm includ continu cooper nbr chairman press home demand schedul programm offici nbr gather build placard sit programm stage nbr respect offic dhaka thursdai statement export intern passeng servic exempt complet strike observ offic tax custom vat depart custom hous lc station 24 25 strike observ 9 5 pm custom hous lc station dai export intern passeng servic exempt strike complet strike observ offic tax custom vat depart intern passeng servic 26 uniti wednesdai includ demand remov nbr chairman md abdur rahman demand issu ordin immedi repeal recommend advisori committe revenu reform publish websit public discuss review draft propos nbr recommend advisori committe sustain revenu system reform ensur opinion stakehold includ aspir organis busi organis civil societi polit leadership process form ad hoc committe nbr reform uniti council compris offici employe level custom vat tax depart nbr finalis,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12034/escalating-tensions-army-police-deployed-at-nbr,13,10,0.9988969781881486,International
"Publish : 24 May 2025, 12:40",UNHCR requires $383.1mn in 2025 to stabilize lives of Rohingyas,unhcr refuge agenc call intern commun stand solidar countri region includ bangladesh host rohingya refuge situat myanmar rakhin peac conduc safe voluntari return intern commun continu support effort provid life save assist rohingya refuge agenc unb report unhcr requir 383 1 million 2025 stabil live refuge host commun bangladesh india indonesia malaysia thailand displac insid myanmar 30 cent amount receiv unhcr grave concern report boat tragedi coast myanmar early month estim 427 rohingya perish sea deadly tragedi sea involv rohingya refuge attempt safeti 1 5 peopl attempt peril sea movement region report dead miss 2025 andaman sea bai bengal water deadly world detail confirm report suggest 514 rohingya travel separ boat boat carri 267 peopl half reportedli leave refuge camp cox bazar bangladesh remaind depart rakhin myanmar boat sink 9 66 survivor boat carri 247 rohingya refuge cox bazar camp flee rakhin capsiz 10 21 survivor unhcr verifi detail survivor report boat carri 188 rohingya intercept leav myanmar 14 dire humanitarian situat exacerb fund cut devast impact live rohingya resort danger journei seek safeti protect dignifi life famili hai kyung jun director unhcr region bureau asia pacif tragedi chill remind access mean protect countri asylum respons share collect effort sea rout essenti save live annual monsoon season arriv region bring strong wind rainfal rough sea boat travel danger time reflect desper journei save live rescu distress sea humanitarian imper longstand duti intern maritim law unhcr call author region urgent action prevent futur tragedi,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12033/unhcr-requires-383.1mn-in-2025-to-stabilize-lives,14,4,0.9988610556029973,Economy
"Publish : 23 May 2025, 19:50",EC orders speedy disposal of NID correction applications,elect commiss ec direct region elect offic send report design tabl expedit dispos applic correct inform nation ident card nid direct sign muhammad hasanuzzaman director administr financ nation ident registr divis elect commiss ec field level region elect offic tuesdai bss report direct state quickli dispos applic relat nation ident card servic separ investig report final approv secretariat divid expatri employe categori type applic ascertain type occup applic investig offic fill applic tabl attach 1 2 3 send electron settl offic form advanc letter opinion memorandum,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12025/ec-orders-speedy-disposal-of-nid-correction,15,7,0.5778848122262009,Education
"Publish : 23 May 2025, 12:15","Marches rise, markets fall",past month 500 demonstr dhaka 10 dai 50 protest stage capit road block alongsid demonstr citi resid suffer sever traffic jam caus persist rain occupi dhaka street demand result nation economi standstil journei 30 minut stretch hour employe govern privat autonom institut struggl reach offic time face delai return home normal circumst dhaka chronic traffic congest wast estim 8 2 million hour daili translat financi loss bdt 139 crore dai bdt 50 000 crore annual economist suggest loss multipli significantli past 10 dai due protest relat traffic jam recent protest bnp leader ishraq hossain support hold dai street demonstr demand swear mayor dhaka south citi corpor jagannath univers student block kakrail intersect demand dismiss armi personnel stage sit in nation press club nation citizen parti ncp protest elect commiss headquart elector reform garment worker demand unpaid wage march chief advis resid block polic kakrail teacher staff hold 10 dai sit press club call nation institut jatiyatabadi chhatra dal stage blockad shahbagh alleg neglig investig kill leader samya technic student stage demonstr demand dhaka notori traffic daili struggl unrest compound miseri previous protest center nation press club shahbagh spread citywid protest set camp list chain demand juli upris subsequ format govern lead dr muhammad yunu dhaka street constant agit dhaka metropolitan polic dmp protest event occur daili averag 500 interim govern ordinari citizen profession public privat sector worker particip ad citi grow dysfunct secur forc overwhelm prompt expert suggest alloc design protest zone citi dweller check road block leav home thursdai morn ishraq support block road citi corpor build court matsya bhaban kakrail 10 5 pm chhatra dal occupi shahbagh intercontinent hotel protest investig neglig samya murder afternoon ncp march jatrabari elector demand doctor major hospit post facebook morn protest avoid absolut comment share frustrat citi march citi mosqu rickshaw dhaka citi protest fall awami leagu govern august citi demand movement protest past 9 month interim govern assum offic august 8 protest erupt issu launch auto rickshaw dhaka student demand automat promot increas benefit ansar reinstat dismiss armi polic personnel releas compens imprison bdr appoint depriv bc candid separ colleg affili dhaka univers nation ebtedayi teacher recruit recommend candid primari school movement includ polytechn student roadblock intern doctor demand stipend increas protest railwai employe worker institut bangladesh betar btv wasa desa secretariat street promot denial lack job perman minor demand constitut recognit adivasi indigen peopl ncp call ban awami leagu polit nurs student demand diploma cours recogn equival bachelor degre jagannath univers student block road hous allow 18 major protest dhaka push citi break dai dismiss armi stage sit press club ishraq support protest 4 consecut dai demonstr spread secretariat nagar bhaban dai blockad hold demand court rule barrier swear ishraq support continu protest kakrail matsya bhaban chhatra dal lay sieg shahbagh polic station block intersect samya death dai worker threaten nationwid shutdown wage eid bonus pay stock market investor protest wear burial shroud fall share price polytechn student protest court shrine gate reason unrest expert identifi kei reason surg protest belief major upris overthrow power awami leagu ideal time press demand previous anti govern protest crush harshli current percept repress sever secur forc clamp strongli encourag protest grievanc teacher worker unresolv polit motiv actor pro govern fuel unrest crowd anti govern voic impact protest protest typic involv march sit in blockad kei intersect shut massiv traffic jam rippl surround road allei eventu entir citi altern rout caus gridlock journei hour minut worker reach offic home time instanc shahbagh home countri medic univers birdem hospit suffer heavili protest thousand seek treatment daili road block patient famili suffer doctor hospit staff late disrupt care protest toll mental health disrupt daili routin increas stress short temper physic psycholog effect linger citi resid silent past 16 act reckless urgenc secur govern govern lenienc quick respons protest embolden world bank dhaka chief economist dr zahid hussain note protest directli harm economi busi suffer complet time peopl leav home uncertainti rickshaw puller wait hour custom charg quadrupl fare passeng didn reach destin pai peopl incom expens time disrupt warn big danger investor decis base futur unrest continu will adopt wait approach lose opportun win,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12023/marches-rise-markets-fall,16,7,0.9473325926044098,Education
"Publish : 23 May 2025, 10:31",Trade chokes through Sylhet borders amid Indian restrictions,lushgreen hill tranquil borderland sylhet hush fall bustl trade arteri tamabil sheola land port export activ critic cross grind halt result abrupt ban impos neighbour india decis send rippl distress sylhet trade commun unb report sourc crux issu li india decis block import restrict list iron precis blacklist item constitut lion share export tamabil india picturesqu meghalaya sheola connect assam seren border sylhet beanibazar upazila thick veil uncertainti loom sylhet export futur port aliv hum trade rhythm transnat commerc eerili silent busi leader sound alarm impass endur bangladesh stand lose vital foothold lucr northeastern market india refer sister region histor reliant import access land port emerg promis consum base bangladeshi convers local import export reveal sober realiti india utilis rout ship bangladesh draw eas transit strateg proxim seamless movement render bangladeshi product exception competit seek india remot northeast item typic cross border readi garment fruit fruit juic household consum plastic product furnitur crockeri fall squar purview india newli reinforc restrict face challeng trader incent dispatch limit remain permiss item result de facto cessat export activ ad graviti situat sourc numer manufactur hub set industri belt habiganj sylhet strateg align serv demand border factori focus consum plastic item confront precari futur restrict lift urgenc financi toll enterpris devast human cost disrupt export import industrialist reel sudden event ago shipment plastic product fruit juic flow regularli port truck lade unsold unmet expect shah alam clear forward agent station sheola land port paint bleak pictur major industri unit suffer export ban continu caution forc scale product india restrict product allow import quantiti ban target volum virtual crippl port activ ad solitari truck melamin manag cross india sheola mondai 19 numer bear plastic consum item compel retreat due prevail ban echo collect anxieti sylhet busi commun foyez hasan ferdou presid sylhet chamber commerc industri natur india restrict neg impact sylhet export trade bangladeshi indian busi affect ferdou urg nation seek diplomat resolut construct bilater dialogu emphasis initi provid relief trader commun border silenc tamabil sheola persist hope reason resolut prevail breath life trade rout connect peopl aspir border,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12018/trade-chokes-through-sylhet-borders-amid-indian,17,3,0.5210973532959056,Entertainment
"Publish : 22 May 2025, 18:33",Redesigned banknotes likely before Eid,ahead eid ul azha currenc note releas market central bank issu note eid ul fitr time prepar upcom eid ul azha bangladesh bank readi releas redesign tk 20 50 1000 banknot secur print corpor commonli taksal gazipur begin print note note featur imag sheikh mujibur rahman includ graphic relat juli upris revert early design arif hossain khan execut director spokesperson bangladesh bank state design note releas eid prepar print process final stage exact date note releas senior offici bangladesh bank speak condit anonym print tk 20 note complet hand bangladesh bank week tk 50 tk 1000 note hand week decis note circul bangladesh bank offici note distribut motijheel offic bangladesh bank branch commerci bank plan releas limit note eid holidai mention volum print note low market demand due controversi banknot bear sheikh mujibur rahman imag bangladesh bank march 10 instruct bank halt exchang note addition bank branch direct preserv note stock exchang exchang note complet suspend lead increas wear note circul,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12015/redesigned-banknotes-likely-to-hit-market-before,18,7,0.9984820477903533,Education
"Publish : 22 May 2025, 14:44",Rainfall to continue for 5 more days,ongo rainfal countri expect persist dai bangladesh meteorolog depart inform share forecast issu thursdai 22 morn weather bulletin state trend rainfal continu dai intens increas dai bulletin southwest monsoon advanc akyab coast myanmar condit favor advanc addition weak low pressur trough extend west bengal southwestern bangladesh northern bai bengal forecast mention low pressur system form southern bai bengal 26 24 hour period 9 forecast suggest light moder rain thundershow rangpur mymensingh sylhet divis dhaka rajshahi divis temporari gusti wind accompani rain khulna barish chattogram divis experi moder heavi rainfal rangpur mymensingh sylhet divis chanc moder heavi rain rain heatwav affect region mild heatwav sweep madaripur pabna khulna jashor chuadanga kushtia satkhira condit persist dai yesterdai temperatur countri record jashor 37 4 24 hour lead 6 record rainfal sylhet 110 millimet dhaka record 33 millimet period,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12010/rainfall-to-continue-for-5-more-days,19,7,0.9981135900853311,Education
"Publish : 22 May 2025, 13:56",Govt issues gazette of Cyber Security Ordinance,govern issu gazett cyber secur ordin 2025 identifi prevent suppress subsequ crime commit cyberspac ensur cyber secur confirm matter law justic parliamentari affair ministri spokesperson dr md rezaul karim gazett issu 21 ordin effect immedi bss report early 6 law advis dr asif nazrul ordin announc week vet ministri law affair 32 page gazett presid formul issu ordin provis civil protect inadequ cyber secur act 2023 pave abus oppress act undermin fundament right includ freedom express announc ordin previou cyber secur act cancel law advis early ordin internet access recognis civic time ad onlin gambl ban repress sexual harass child woman cyberspac recognis punish offenc releas content repress sexual harass woman child spread religi hatr exagger violenc identifi punish offenc ordin commit crime artifici intellig recognis offenc time south asia dr asif nazrul tell press brief foreign servic academi meet council advis,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12009/govt-issues-gazette-of-cyber-security-ordinance,20,10,0.6263308867252484,International
"Publish : 22 May 2025, 11:43",Dhaka's street chaos takes root beneath its Metro Rail,dhaka metro rail launch symbol modern organis citi sleek track smooth train ride offer hope capit final move forward beneath elev track pictur emerg unb report space metro line design greeneri public tree plant plan uproot tree walkwai home homeless inaugur mrt line 6 decemb 28 2022 uttara agargaon citi gradual extend metro servic motijheel space track intend clean zone pedestrian commun overrun farmgat karwan bazar kazipara mirpur hawker beggar domin makeshift stall street child pile wast line footpath forc commut navig chao have build metro rail top slum tanvir hasan univers student farmgat chang citi push local describ scene disturb plastic sheet serv roof mattress lie grind vendor fry snack danger close foot traffic beggar sit station gate compet attent mini bazaar afternoon asma khatun garment worker mirpur 10 ad noisi crowd filthi don feel safe walk anymor transform didn happen overnight singl vendor homeless peopl space shelter entir stretch resembl inform market visibl action author regul reclaim space mean revolut urban transport layer disord suppos clean modern dhaka mahbub alam privat sector employe commut daili metro station feel mess shopkeep karwan bazar metro station struggl difficult custom walk rina akter run groceri nearbi footpath block vendor dirti urban expert lack post construct plan design purpos space walkwai green zone park wouldn happen dr shafiq rahman regular metro user origin plan public benefit includ pedestrian walkwai space mean smooth foot traffic track give peopl access interfer street vendor green space park section featur park green belt beautifi resid break concret jungl park bicycl stand design park wheeler bicycl plan support eco friendli commut control commerci zone discuss set regul kiosk retail booth serv metro user organis chaotic public amen basic facil seat toilet inform booth propos metro travel comfort realiti plan realis remain unmanag vendor homeless move freeli dhaka north south citi corpor dhaka mass transit compani limit dmtcl announc firm strategi deal situat resid daili contradict glimps modern glide chao unfold,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12006/dhaka-s-street-chaos-takes-root-beneath-its-metro,21,5,0.6849479827251543,Crime
"Publish : 22 May 2025, 10:37",Railway opens June 1 Eid ticket sales,assum june 7 date eid ul azha bangladesh railwai begin advanc ticket sale holidai travel ticket dai eid journei june 1 sale conveni passeng ticket sell onlin thursdai 22 ticket sale train oper western region bangladesh railwai start 8 ticket sale eastern region train begin 2 pm interc train depart dhaka destin countri total 33 315 seat inform reveal special eid oper plan prepar bangladesh railwai plan ticket 31 sell 21 ticket june 2 sell 23 june 3 24 june 4 25 june 5 26 june 6 27 railwai decis ticket dai prior eid sell advanc special arrang ticket refund person purchas ticket time,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12005/railway-opens-june-1-eid-ticket-sales,22,4,0.9974789934106516,Economy
"Publish : 21 May 2025, 19:26",DSCC services halted amid protests,citizen servic dhaka south citi corpor dscc halt due protest support bnp leader ishraq hossain stoppag employe dscc administr md shahjahan mia confirm develop medium wednesdai 21 citizen servic insid nagar bhaban suspend past dai region offic dscc close result unabl provid servic resid dhaka south support ishraq stage week protest front nagar bhaban demand swear mayor due protest build lock halt servic addit region offic dscc close discuss dscc employe union administr md shahjahan mia inform author matter decis,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11997/dscc-services-halted-amid-protests,23,7,0.928550061429525,Education
"Publish : 21 May 2025, 19:17",'Pay your workers by May 28 or prepare for jail',garment factori owner settl outstand wage worker 28 arrest imprison warn ship advis brig gen retd sakhawat hossain wednesdai warn speak press brief secretariat meet eid ul azha prepar unb report plan worker besieg labour ministri jamuna build factori jurisdict ministri industri commerc respons fall tuesdai sit factori owner decid worker due 28 sell hous fail arrest warrant issu advis warrant issu owner find abroad red alert activ proper channel ad pai worker sell hous vehicl pai worker month sector urg owner pai worker prepar jail arrest warrant haven activ owner tell stai dhaka arrest warrant issu factori owner advis refer ferri servic roumari chilmari rout advis medium size ferri introduc rout northern bangladesh ferri servic rout oper trial basi expect launch offici rout connect jamalpur directli oper reduc travel time dhaka 100 kilomet peopl region signific achiev plan begin ferri servic thursdai ahead eid rout restor dredg advis,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11995/pay-your-workers-by-may-28-or-prepare-for-jail,24,7,0.9307006751168914,Education
"Publish : 20 May 2025, 20:41",Torrential rain disrupts Dhaka life,persist rainfal trigger low pressur west bengal north bai southwestern bangladesh caus signific disrupt dhaka tuesdai compound woe commut face sever traffic congest due protest kei citi rain noon continu afternoon even disrupt normal life peopl unb report shahnaz sultana meteorologist bangladesh meteorolog depart bmd meet offic record 26 mm rainfal 12 pm 6 pm tuesdai possibl increas rainfal dai southern countri downpour offer temporari relief scorch heat home purpos suffer lot due rainfal activ traffic standstil capit shahbagh kakrail intersect ongo demonstr continu rain protest brave weather escal congest muddi street resid express frustrat struggl reach destin amid twin challeng traffic gridlock heavi rainfal describ experi unbear meet offic bulletin light moder rain thunder shower lightn flash temporari gusti wind occur rangpur mymensingh sylhet divis rajshahi dhaka divis khulna barish chattogram divis moder heavi heavi fall rangpur mymensingh sylhet divis dai night temperatur remain unchang countri trough low li west bengal north bai southwestern bangladesh rangpur record rainfal countri 118 mm 24 hour till 6 tuesdai,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11992/torrential-rain-disrupts-dhaka-life,25,7,0.998535036649884,Education
